name,variables,records,size_in_mb
sn1997pr,396,44608,82
sn1997ir,4868,8593,64
sn1997kr,5268,7372,56
sn2005br,12169,39895,731
sn2005mr,6737,3761,35
sn2005pr,823,69059,200
sn2005ir,11746,14602,261
sn2005kr,12514,10944,207
sn2010br,12633,42510,881
sn2010mr,7012,4929,56
sn2010pr,998,77269,247
sn2010ir,12253,15688,320
sn2010kr,12912,12326,261
sn2012br,11495,22563,372
sn2012pr,939,41593,122
sn2012ir,11103,8636,139
sn2012kr,11758,6862,116
sn2014ir,13725,8488,152
sn2014br,14141,22365,410
sn2014kr,14439,6842,129
sn2014mr,9078,3371,39
sn2014pr,731,40723,52
sn2015mr,9085,3734,42
sn2015pr,708,41902,52
sn2015ir,13759,8851,158
sn2015kr,14478,6935,129
sn2015br,14214,23250,424
sn2016ir,11501,8865,137
sn2016kr,12228,6725,110
sn2016br,11977,22740,361
sn2016mr,6763,3527,31
sn2016pr,691,41632,51
sn2017ir,7326,16787,173
sn2017kr,8203,12185,138
sn2017br,7888,42944,464
sn2017mr,1058,6977,10
sn2017pr,792,78950,114
tr1993ir,3390,6519,35
tr1993kr,1010,3724,6
tr1998ir,4439,8576,58
tr1998kr,1088,3565,6
tr2003ir,8690,8075,89
tr2003kr,1346,4533,9
tz1991br,3991,29143,167
tz1991ir,3941,9238,53
tz1991mr,1402,10000,17
tz1991kr,4190,8138,50
tz1991pr,153,46733,19
tz1996br,5024,24890,175
tz1996ir,4845,8120,56
tz1996mr,1596,10000,21
tz1996kr,5236,6789,50
tz1996pr,172,40220,18
tz1999br,5346,11952,101
tz1999ir,4984,4029,33
tz1999mr,1693,10000,24
tz1999kr,5533,3215,28
tz1999pr,451,19255,37
tz2004br,9558,30557,463
tz2004ir,9203,10329,153
tz2004mr,4293,10000,61
tz2004kr,9932,8564,135
tz2004pr,712,49921,139
tz2010br,9907,29777,467
tz2010ir,9473,10139,154
tz2010mr,3916,10000,59
tz2010kr,10219,8023,130
tz2010pr,818,50414,147
tz2015ir,12197,13266,238
tz2015kr,13062,10233,194
tz2015br,12749,37169,684
tz2015mr,5877,10000,87
tz2015pr,702,64880,92
ug1988br,2014,16074,49
ug1988ir,2130,4730,16
ug1988kr,2135,4959,16
ug1995br,4996,22752,158
ug1995ir,4756,7070,48
ug1995mr,1573,10000,21
ug1995kr,5207,5756,42
ug1995pr,187,36026,17
ug2001br,8158,23410,315
ug2001ir,7865,7246,96
ug2001mr,3406,10000,52
ug2001kr,8499,7113,100
ug2001pr,714,37951,107
ug2006br,9584,30090,453
ug2006ir,9170,8531,125
ug2006mr,3816,10000,55
ug2006kr,9931,8369,131
ug2006pr,957,45439,143
ug2011br,9559,28609,418
ug2011ir,9162,8674,123
ug2011mr,4098,10000,56
ug2011kr,9863,7878,119
ug2011pr,915,44977,137
ug2016ir,10541,18506,280
ug2016kr,11362,15522,250
ug2016br,11050,57906,902
ug2016mr,4927,5336,36
ug2016pr,770,91167,136
za1998br,5147,22934,161
za1998ir,4855,11735,80
za1998pr,140,52906,18
za1998kr,5310,5066,37
bd1994ir,3825,9640,52
bd1994pr,182,51631,24
bd1994kr,4175,3874,22
bd1994mr,1060,3284,4
bd1994br,4057,32590,181
bd1997ir,4057,9127,55
bd1997pr,185,47432,22
bd1997kr,4454,6189,40
bd1997mr,1101,3312,4
bd1997br,4259,29366,181
bd2000ir,4846,10544,88
bd2000pr,473,54627,120
bd2000kr,5467,6832,62
bd2000mr,1058,2556,3
bd2000br,5232,31925,277
bd2004ir,8696,11440,146
bd2004pr,650,55883,144
bd2004kr,9555,6908,95
bd2004mr,3477,4297,18
bd2004br,9321,33605,448
bd2007ir,8118,10996,135
bd2007pr,679,53413,138
bd2007kr,8946,6150,82
bd2007mr,3140,3771,16
bd2007br,8660,30527,392
bd2011ir,8053,17842,239
bd2011pr,855,83731,248
bd2011kr,8830,8753,125
bd2011mr,3254,3997,21
bd2011br,8518,45844,631
bd2014pr,707,81624,213
bd2014ir,6823,17863,194
bd2014kr,7780,7886,95
bd2014br,7488,43772,506
bf1993ir,4453,6354,48
bf1993mr,1219,1845,2
bf1993kr,4847,5828,47
bf1993br,4659,20655,160
bf1993pr,392,34222,62
bf1998ir,5286,6445,49
bf1998mr,1763,2641,6
bf1998kr,5690,5953,49
bf1998br,5567,22145,176
bf1998pr,176,32181,15
bf2003ir,9526,12477,189
bf2003mr,5034,3605,26
bf2003kr,10335,10645,172
bf2003br,9967,41520,646
bf2003pr,707,60766,169
bf2010mr,5735,7307,60
bf2010ir,11342,17087,302
bf2010kr,11986,15044,278
bf2010br,11711,56178,1010
bf2010pr,906,82095,248
cm1991ir,4344,3871,28
cm1991mr,1225,10000,15
cm1991kr,4697,3350,26
cm1991br,4476,11612,85
cm1991pr,403,20724,37
cm1998ir,5020,5501,39
cm1998mr,1542,10000,19
cm1998kr,5372,2317,17
cm1998br,5167,15187,109
cm1998pr,179,26523,12
cm2004ir,9899,10656,168
cm2004mr,4859,10000,73
cm2004kr,10593,8125,135
cm2004br,10222,29455,471
cm2004pr,719,51976,145
cm2011ir,13732,15426,315
cm2011mr,8237,10000,113
cm2011kr,14538,11732,251
cm2011br,14217,42312,884
cm2011pr,1080,72622,237
ia1992ir,4956,89777,609
