name,variables,records,size_in_mb
pg1990a,139,429711,76
pg2000a,160,624203,140
bj1979a,108,393001,63
bj1992a,152,581763,128
bj2002a,191,806690,213
bj2013a,237,1190314,330
hn1961a,97,37728,5
hn1974a,123,327412,70
hn1988a,189,501377,128
hn2001a,206,732204,177
ls1996a,162,224883,47
ls2006a,240,221934,59
zw2012a,169,815416,190
