name,variables,records,size_in_mb
cps1998_12s,1060,184047,285
cps1999_03b,929,182067,258
cps1999_03s,1124,197701,307
cps1999_01s,1036,183895,293
cps1999_02s,1121,182721,307
cps1999_04s,1103,182451,281
cps1999_05s,1036,182607,290
cps1999_06b,922,183390,255
cps1999_07b,922,183246,254
cps1999_08b,922,184535,257
cps1999_09s,952,185158,269
cps1999_10s,1098,185360,303
cps1999_11b,923,186762,261
cps1999_12b,923,184532,257
cps2000_03b,938,181843,266
cps2000_03s,1526,198654,407
cps2000_01s,973,185427,284
cps2000_02s,1055,183553,309
cps2000_04b,935,183397,266
cps2000_05s,973,183211,281
cps2000_06s,947,183019,271
cps2000_07b,933,182732,264
cps2000_08s,1080,182659,294
cps2000_09s,1126,182734,294
cps2000_10s,1002,183383,282
cps2000_11s,953,182386,269
cps2000_12b,933,181555,262
cps2001_03b,934,176678,256
cps2001_03s,1334,316284,615
cps2001_01b,933,180650,260
cps2001_02s,1134,178991,310
cps2001_04s,1128,212418,341
cps2001_05s,997,178530,276
cps2001_06s,1051,212987,348
cps2001_07b,933,214410,308
cps2001_08s,1031,215139,341
cps2001_09s,1143,215499,367
cps2001_10s,1022,215567,337
cps2001_11s,1051,214869,352
cps2001_12s,1126,214380,344
cps2002_03b,938,212406,308
cps2002_03s,1668,316067,740
cps2002_01s,1057,214403,359
cps2002_02s,1051,213461,348
cps2002_04b,935,214504,308
cps2002_05b,933,214885,308
cps2002_06s,950,215131,318
cps2002_07b,933,215856,310
cps2002_08s,1192,215803,390
cps2002_09s,1048,216558,354
cps2002_10s,1079,217035,355
cps2002_11s,954,216852,321
cps2002_12s,1139,216624,350
cps2003_03b,937,214979,306
cps2003_03s,1359,316410,622
cps2003_01b,932,216069,304
cps2003_02s,1239,215133,398
cps2003_04b,934,215692,304
cps2003_05b,932,215289,303
cps2003_06s,1238,213511,395
cps2003_07b,932,212726,299
cps2003_08s,1031,212427,329
cps2003_09s,1037,213678,339
cps2003_10s,1207,212864,372
cps2003_11s,1241,212714,393
cps2003_12s,1139,212378,336
cps2004_03b,937,211524,300
cps2004_03s,1665,312220,737
cps2004_01s,1055,212375,346
cps2004_02b,932,213234,299
cps2004_04b,934,210612,296
cps2004_05s,992,210191,318
cps2004_06s,935,208558,298
cps2004_07b,918,206771,287
cps2004_08b,911,208788,289
cps2004_09s,1027,209625,331
cps2004_10s,1129,211036,352
cps2004_11s,940,212474,304
cps2004_12s,1125,211152,332
cps2005_03b,922,209062,292
cps2005_03s,1863,309312,1418
cps2005_01b,917,212284,295
cps2005_02s,1119,210996,354
cps2005_04b,919,210116,291
cps2005_05s,950,209828,302
cps2005_06b,917,209099,290
cps2005_07b,917,208863,290
cps2005_08s,1025,208665,331
cps2005_09s,1037,207639,338
cps2005_10s,998,209079,322
cps2005_11b,925,208671,292
cps2005_12s,1151,207605,339
cps2006_03b,930,206728,292
cps2006_03s,2170,305914,1492
cps2006_01s,1067,208242,353
cps2006_02b,925,207897,290
