name,variables,records,size_in_mb
nm2006pr,826,42633,121
nm2006kr,9194,5168,73
nm2006br,8914,19522,268
nm2013ir,7918,10018,133
nm2013pr,1022,41646,134
nm2013kr,8767,5046,72
nm2013br,8493,18090,252
zm1992br,3737,22122,119
zm1992ir,3676,7060,38
zm1992kr,3929,6299,36
zm1992pr,151,34943,13
zm1996br,4705,24799,164
zm1996ir,4618,8021,53
zm1996kr,4909,7248,51
zm1996pr,173,39721,18
zm2001br,7495,23805,246
zm2001ir,7056,7658,76
zm2001kr,7802,6877,75
zm2001pr,427,38089,37
zm2007br,9001,21366,302
zm2007ir,8651,7146,98
zm2007kr,9334,6401,94
zm2007pr,959,35562,109
zm2013br,9044,49207,696
zm2013ir,8592,16411,225
zm2013kr,9357,13457,197
zm2013pr,918,83058,251
ne1992ir,5287,6503,56
ne1992kr,5614,6899,63
ne1992br,5385,23841,206
ne1992pr,389,34297,61
ne1998ir,5240,7577,63
ne1998kr,5652,4798,42
ne1998br,5417,28888,243
ne1998pr,402,36722,67
ne2006ir,10353,9223,133
ne2006kr,11264,9193,142
ne2006br,10959,34378,515
ne2006pr,558,47964,56
ne2012ir,8816,11160,142
ne2012kr,9678,12558,173
ne2012br,9427,44183,588
ne2012pr,656,64011,83
ci1994ir,5207,8099,67
ci1994kr,5672,3998,35
ci1994br,5418,24870,211
ci1994pr,398,38783,71
ci1998ir,4944,3040,24
ci1998kr,5378,1992,17
ci1998br,5172,7575,61
ci1998pr,395,13139,24
ci2011ir,9940,10060,157
ci2011kr,10664,7776,128
ci2011br,10402,28211,453
ci2011pr,928,51187,156
mz1997ir,4247,8779,54
mz1997kr,4630,4122,27
mz1997br,4408,25752,161
mz1997pr,175,44822,21
mz2003ir,8059,12418,141
mz2003kr,8840,10326,128
mz2003br,8490,37443,441
mz2003pr,434,63496,61
mz2011ir,8170,13745,181
mz2011kr,8902,11102,156
mz2011br,8630,37984,516
mz2011pr,822,62750,181
bi1987kr,2704,3811,15
bi1987br,2568,11886,43
bi1987ir,2421,3970,14
bi2010kr,8520,7742,104
bi2010br,8246,24520,319
bi2010pr,888,42420,126
bi2010ir,7804,17269,217
bi2016ir,9489,9389,131
bi2016kr,10400,13192,199
bi2016br,10067,45419,660
bi2016pr,720,78367,109
cd2007pr,860,48291,142
cd2007kr,10106,8992,141
cd2007br,9845,29548,451
cd2007ir,9433,9995,149
cd2013ir,10467,18827,324
cd2013pr,1097,95949,330
cd2013kr,11205,18716,339
cd2013br,10909,59276,1044
ye1991br,5235,29803,222
ye1991ir,5077,6010,44
ye1991pr,282,86486,49
ye1991kr,5421,7286,57
ye2013br,9132,64602,834
ye2013ir,8720,25434,320
ye2013pr,574,120923,137
ye2013kr,9383,16093,215
zz2015ir,13142,8348,142
zz2015kr,13889,5968,107
zz2015br,13640,23666,416
zz2015pr,579,37673,45
af2015kr,10584,32712,428
af2015ir,9678,29461,358
af2015br,10319,125715,1592
af2015pr,520,203708,175
mm2015kr,9666,4815,62
mm2015ir,8634,12885,151
mm2015br,9358,22989,288
mm2015pr,577,55854,63
tn1988ir,2538,4184,16
tn1988kr,2846,4477,19
tn1988br,2703,16463,65
ao2015ir,9928,14379,201
ao2015kr,10817,14322,216
ao2015br,10496,42002,609
ao2015pr,716,74902,99
